timestamp	measurement_desc	pi_value1	plant_name
2021-03-31 16:00:00	nhp_bruto_extracao_icp	116.82	Primavera do Leste
2021-04-01 08:00:00	nhp_bruto_extracao_icp	79.71	Primavera do Leste
2021-04-01 10:30:00	nhp_bruto_extracao_icp	80.48	Primavera do Leste
2021-04-01 16:00:00	nhp_bruto_extracao_icp	103.42	Primavera do Leste
2021-04-01 20:00:00	nhp_bruto_extracao_icp	87.93	Primavera do Leste
2021-04-02 08:00:00	nhp_bruto_extracao_icp	101.10	Primavera do Leste
2021-04-02 16:00:00	nhp_bruto_extracao_icp	107.95	Primavera do Leste
2021-04-03 00:00:00	nhp_bruto_extracao_icp	96.08	Primavera do Leste
2021-04-03 08:00:00	nhp_bruto_extracao_icp	104.71	Primavera do Leste
2021-04-04 00:00:00	nhp_bruto_extracao_icp	103.93	Primavera do Leste
2021-04-04 08:00:00	nhp_bruto_extracao_icp	105.72	Primavera do Leste
2021-04-05 00:00:00	nhp_bruto_extracao_icp	100.83	Primavera do Leste
2021-04-05 08:00:00	nhp_bruto_extracao_icp	96.08	Primavera do Leste
2021-04-06 00:00:00	nhp_bruto_extracao_icp	110.22	Primavera do Leste
2021-04-06 08:00:00	nhp_bruto_extracao_icp	113.10	Primavera do Leste
2021-04-07 00:00:00	nhp_bruto_extracao_icp	157.64	Primavera do Leste
2021-04-07 07:00:00	nhp_bruto_extracao_icp	172.93	Primavera do Leste
2021-04-07 11:00:00	nhp_bruto_extracao_icp	136.32	Primavera do Leste
2021-04-08 00:00:00	nhp_bruto_extracao_icp	110.77	Primavera do Leste
2021-04-08 08:00:00	nhp_bruto_extracao_icp	172.43	Primavera do Leste
2021-04-08 16:00:00	nhp_bruto_extracao_icp	179.38	Primavera do Leste
2021-04-09 08:00:00	nhp_bruto_extracao_icp	186.68	Primavera do Leste
2021-04-09 11:00:00	nhp_bruto_extracao_icp	165.34	Primavera do Leste
2021-04-09 16:00:00	nhp_bruto_extracao_icp	136.81	Primavera do Leste
2021-04-10 08:00:00	nhp_bruto_extracao_icp	153.85	Primavera do Leste
2021-04-10 16:00:00	nhp_bruto_extracao_icp	156.82	Primavera do Leste
2021-04-11 08:00:00	nhp_bruto_extracao_icp	127.14	Primavera do Leste
2021-04-11 16:00:00	nhp_bruto_extracao_icp	128.26	Primavera do Leste
2021-04-12 00:00:00	nhp_bruto_extracao_icp	201.85	Primavera do Leste
2021-04-12 08:00:00	nhp_bruto_extracao_icp	161.01	Primavera do Leste
2021-04-13 12:30:00	nhp_bruto_extracao_icp	122.70	Primavera do Leste
2021-04-13 16:00:00	nhp_bruto_extracao_icp	147.58	Primavera do Leste
2021-04-14 00:00:00	nhp_bruto_extracao_icp	124.30	Primavera do Leste
2021-04-14 16:00:00	nhp_bruto_extracao_icp	104.47	Primavera do Leste
2021-04-15 00:00:00	nhp_bruto_extracao_icp	134.69	Primavera do Leste
2021-04-15 08:00:00	nhp_bruto_extracao_icp	174.50	Primavera do Leste
2021-04-15 16:00:00	nhp_bruto_extracao_icp	141.40	Primavera do Leste
2021-04-16 00:00:00	nhp_bruto_extracao_icp	183.12	Primavera do Leste
2021-04-16 08:00:00	nhp_bruto_extracao_icp	181.42	Primavera do Leste
2021-04-16 16:00:00	nhp_bruto_extracao_icp	143.09	Primavera do Leste
2021-04-17 00:00:00	nhp_bruto_extracao_icp	163.25	Primavera do Leste
2021-04-17 08:00:00	nhp_bruto_extracao_icp	157.53	Primavera do Leste
2021-04-18 00:00:00	nhp_bruto_extracao_icp	141.87	Primavera do Leste
2021-04-18 08:00:00	nhp_bruto_extracao_icp	114.13	Primavera do Leste
2021-04-19 00:00:00	nhp_bruto_extracao_icp	100.27	Primavera do Leste
2021-04-19 14:30:00	nhp_bruto_extracao_icp	139.18	Primavera do Leste
2021-04-20 00:00:00	nhp_bruto_extracao_icp	117.86	Primavera do Leste
2021-04-20 16:00:00	nhp_bruto_extracao_icp	162.88	Primavera do Leste
2021-04-21 16:00:00	nhp_bruto_extracao_icp	111.14	Primavera do Leste
2021-04-22 16:00:00	nhp_bruto_extracao_icp	104.65	Primavera do Leste
2021-04-23 08:00:00	nhp_bruto_extracao_icp	169.38	Primavera do Leste
2021-04-23 16:00:00	nhp_bruto_extracao_icp	121.29	Primavera do Leste
2021-04-24 00:00:00	nhp_bruto_extracao_icp	149.35	Primavera do Leste
2021-04-24 08:00:00	nhp_bruto_extracao_icp	154.99	Primavera do Leste
2021-04-24 16:00:00	nhp_bruto_extracao_icp	137.15	Primavera do Leste
2021-04-25 00:00:00	nhp_bruto_extracao_icp	157.90	Primavera do Leste
2021-04-25 16:00:00	nhp_bruto_extracao_icp	163.13	Primavera do Leste
